Date, AM Time, Accomplished, Goal, Todo/Calendar, AM Eye,, Make Bed,, AM Exercise,, AM Jaw,, AM Meds,, AM Food,, AM Teeth,, AM Bathe,, AM Fissure,, AM Dressed,, Awareness,, AM Eye 2,, Lunch,, Lunch Meds,, Lunch Fissure,, Shielding,, Welding,, EEG,, Organization,, Travel Prep,, Academic,, PM Eye,, PM Food,, PM Meds,, PM Teeth,, PM Fissure,, PM Exercise,, PM Jaw,, PM Eye,, Dental Guard,, PM Time, Other,, Notes
Date      , Time,Actua,Goal ,T,EY,,MB,,PT  ,    ,  JE,    ,MD,,FD,,BT,,  SH,,FT,,CL,,SS,,EY,,FD ,   ,MD,,FT,,EM ,   ,WL,,OV ,   ,PL ,   ,PK,,EE,,EY,,FD,,MD,,BT,,FT,,PT  ,    ,JE  ,    ,EY,,DG,, Time,Ot,,N
          ,     ,     ,     , ,A,G,A,G,Actu,Goal,Actu,Goal,A,G,A,G,A,G,  A,G,A,G,A,G,A,G,A,G,Act,Goa,A,G,A,G,Act,Goa,A,G,Act,Goa,Act,Goa,A,G,A,G,A,G,A,G,A,G,A,G,A,G,Actu,Goal,Actu,Goal,A,G,A,G,     ,A,G,
          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
# IT'S 2019 NOW USE THE OTHER FILE,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-14,07:02,     ,     , ,1,1,1,1,   0,    ,   0,    ,1,1,1,1,1,1,  1,1,1,1,1,1,0, ,1,1,  1,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , ,1, , , ,1,1, , ,    ,    ,    ,    ,1,1,1,1,     , , ,
2018-11-13,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    ,1, , , ,     , , ,debilitating belly cramps all day
2018-11-12,07:40,     ,     , ,1,1,1,1,    ,    ,    ,    ,1, ,1, ,1,1,  1,1,0, ,1, ,0, ,1, ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , , ,
2018-11-11,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    ,1, , , ,     , , ,
2018-11-10,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-09,06:57,     ,     , ,1,1,1,1,   0,    ,   0,    ,1,1,1,1,1,1,  1,1,1,1,1,1,0, ,1,1,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , ,1, ,1,     , ,2,O:kate call & some effective work
2018-11-08,05:42,     ,     , ,1,1,1,1,   0,    ,   0,    ,1, ,1,1,1,1,  1,1,1, ,1, ,0, ,1, ,  1,   ,0, ,0, ,   ,   , , ,   ,   ,   ,   , , , , , , ,1, ,0, ,1,1,0, ,   0,    ,   0,    ,1,1,0,1,     ,2,2,O:clean room for heater install & jeremy psychotherapy
2018-11-07,07:07,     ,     ,1,1, ,1, ,   0,    ,   0,    ,1, ,1, ,1, ,  1, ,0, ,1, ,0, ,1, ,  1,   ,0, ,0, ,  0,   ,0, ,   ,   ,   ,   ,0, ,0, ,1, ,1, ,0, ,1, ,0, ,   0,    ,   0,    ,1, ,1, ,     ,2,2,O:phone call & trash to dump
2018-11-06,08:42,     ,     , ,1, , , ,   0,    ,   0,    ,1, ,1, ,1, ,  1,1,1, ,1, , , ,1, ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , , , ,1,     , ,2,O:kate call & trip to elkins for oncology scan
2018-11-05,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-04,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-03,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-02,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-11-01,05:24,     ,     , ,1, ,1, ,   0,    ,   0,    ,1, ,1, ,1,1,  1, ,1, ,1, ,1, ,1, ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , , , , ,     , ,1,
2018-10-31,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , ,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , ,1, , , ,    ,    ,    ,    , , , , ,     , , ,
2018-10-30,20:50,     ,     , , , , , ,    ,    ,    ,    ,1, , , , , ,   , , , , , , , , , ,  1,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , ,1, , , , , ,1, , , ,    ,    ,    ,    , , , , ,     , , ,
2018-10-29,08:25,     ,     , , , , , ,    ,    ,    ,    , , , , , ,1,   , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , ,1, , ,    ,    ,    ,    , , , , ,     ,2,2,O:mongrotto & tire; got pretty confused last night ended up visiting gwyn
2018-10-28,06:27,     ,     , ,1, ,1, ,   0,    ,   0,    ,1, ,1, ,1,1,  1, ,1, ,1, , , ,1, ,   ,   , , , , ,   ,   , , ,   ,   ,  1,   , , , , , , , , , , ,0,1, , ,   0,    ,   0,    ,0, ,0,1,     , ,2,O:progress on noiscillate + nic dispenser
2018-10-27,10:04,   17,    2,1,1, ,1, ,   0,    ,   0,    ,1, ,1, ,1,1,  1, , , ,1, ,1, ,1, ,   ,   ,1, , , ,  1,   ,0, ,  0,   ,  1,   , , , , , , ,1, ,1, ,1,1, , ,   0,    ,   0,    ,1, ,1, ,     , , ,
2018-10-26,06:09,   14,    2, ,1, ,1, ,   0,    ,   0,    ,1, ,1, ,1,1,  1, , , ,1, ,0, ,1, ,   ,   ,0, , , ,   ,   , , ,   ,   ,   ,   , , , , ,1, ,1, ,1, ,1,1, , ,   0,    ,   0,    , , ,1, ,     ,1, ,yesterday was rough; today i began getting emailbombed
2018-10-25,06:42,     ,     ,1,1, ,0, ,   0,    ,   0,    ,0, ,1, ,1,1,  1, , , ,1, ,1, ,1, ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , ,0,1, , ,    ,    ,    ,    , , , , ,     ,2,3,O:passport app;neurology;pull over to brush teeth?
2018-10-24,09:01,   11,    2,1,1, ,0, ,   0,    ,   0,    ,0, ,1, ,1,1,  1, , , ,1, ,1, ,0, ,  1,   ,0, , , ,  0,   ,0, ,  0,   ,  1,   , , ,0, ,1, ,1, ,0, ,1,1, , ,   0,    ,   0,    , , ,0, ,     , , ,
2018-10-23,04:34,     ,     , ,1,1,1,1,   0,    ,   0,    , ,1,1,1,1,1,  1,1, , ,1,1,1,1,1,1,   ,   ,0, , , ,  0,   , , ,   ,   ,   ,   , , , , ,0, ,0, ,0, ,1,1, , ,   0,    ,   0,    ,0, ,1,1,     ,4,7,
