Code, Routine, Start Time, Stop Time, Description
T, morning, 2018-02-21T08:01:48-05:00, 2018-02-21T08:32:33-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-21T08:35:02-05:00, 2018-02-21T08:35:03-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-21T08:35:47-05:00, 2018-02-21T08:37:19-05:00, Make Bed,
FD, morning, 2018-02-21T08:38:08-05:00, 2018-02-21T09:19:54-05:00, Breakfast and Meds,
BT, morning, 2018-02-21T09:20:47-05:00, 2018-02-21T09:42:55-05:00, Brush Teeth,
FT, morning, 2018-02-21T09:43:03-05:00, 2018-02-21T09:57:57-05:00, Fissure Treatment,
CL, morning, 2018-02-21T09:59:34-05:00, 2018-02-21T10:01:59-05:00, Put Clothes On,
EY, morning, 2018-02-21T10:02:25-05:00, 2018-02-21T10:03:35-05:00, Eye Lubricant Again,
T, morning, 2018-02-21T10:03:37-05:00, 2018-02-21T10:05:57-05:00, Update Todo List,
EY, midday, 2018-02-21T12:05:09-05:00, 2018-02-21T12:06:29-05:00, Midday Eye Lubricant,
FD, midday, 2018-02-21T12:06:31-05:00, 2018-02-21T13:14:52-05:00, Lunch and Meds,
FT, midday, 2018-02-21T13:14:59-05:00, 2018-02-21T13:36:02-05:00, Midday Fissure Treatment,
T, evening, 2018-02-21T18:46:26-05:00, 2018-02-21T18:49:46-05:00, Update Todo List,
EY, evening, 2018-02-21T18:50:01-05:00, 2018-02-21T21:04:55-05:00, Afternoon Eye Lubricant,
FD, evening, 2018-02-21T21:05:01-05:00, 2018-02-21T21:20:03-05:00, Dinner and Meds,
B, morning, , 2018-02-22T05:29:02-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-22T05:29:10-05:00, 2018-02-22T05:47:24-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-22T05:47:30-05:00, 2018-02-22T06:13:23-05:00, Morning Eye Lubricant,
MB, morning, , 2018-02-22T06:15:22-05:00, Make Bed, finished earlier
