Date, AM Time, Accomplished, Goal, Todo/Calendar, AM Eye,, Make Bed,, AM Exercise,, AM Jaw,, AM Meds,, AM Food,, AM Teeth,, AM Bathe,, AM Fissure,, AM Dressed,, Awareness,, AM Eye 2,, Lunch,, Lunch Meds,, Lunch Fissure,, Shielding,, Welding,, EEG,, Organization,, Travel Prep,, Academic,, PM Eye,, PM Food,, PM Meds,, PM Teeth,, PM Fissure,, PM Exercise,, PM Jaw,, PM Eye,, Dental Guard,, PM Time, Other,, Notes
Date      , Time,Actua,Goal ,T,EY,,MB,,PT  ,    ,  JE,    ,MD,,FD,,BT,,SH,,FT,,CL,,SS,,EY,,FD ,   ,MD,,FT,,EM ,   ,WL,,OV ,   ,PL ,   ,PK,,EE,,EY,,FD,,MD,,BT,,FT,,PT  ,    ,JE  ,    ,EY,,DG,, Time,Ot,,N
          ,     ,     ,     , ,A,G,A,G,Actu,Goal,Actu,Goal,A,G,A,G,A,G,A,G,A,G,A,G,A,G,A,G,Act,Goa,A,G,A,G,Act,Goa,A,G,Act,Goa,Act,Goa,A,G,A,G,A,G,A,G,A,G,A,G,A,G,Actu,Goal,Actu,Goal,A,G,A,G,     ,A,G,
# I recommend filling this out after your morning routine is over.          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , , , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
          ,     ,     ,     , , , , , ,    ,    ,    ,    , , , , , , , , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,

2018-01-26,     ,     ,     , , , , , ,   1,    ,    ,    , , , , , , , , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , ,1, ,1, ,1, ,1, ,    ,    ,    ,    ,1, ,1, ,     , , ,
2018-01-25,06:30,     ,     ,1, ,1, ,1,    ,   2,    ,0.20, ,1, ,1, ,1, ,1, ,1, ,1, , , , ,   ,  1, ,0, ,0,   ,   , , ,   ,   ,   ,   , ,1, , , ,1, , , , , ,1, ,1,    ,    ,    ,    , ,1, ,1,     ,0,1,oth: rent truck
2018-01-24,06:19,     ,     ,2,1,1,0,1,1   ,   1,0.10,0.10,1,1,1,1,1,1,0, ,1,1,1,1, , ,1,0,  1,  0,0, ,0, ,  0,   ,0,1,  0,  1,  0,   ,0, ,0, ,0, ,1,0,1,0,1,0,1,0,   0,   0,   0,   0,1,1,0, ,     , , ,
2018-01-23,05:28,     ,     ,2,1,1,1,0,0.50,0.50,   0,0.50,1,1,1,1,1,1, , ,1,1,1,1, , , , ,   ,   , , , , ,   ,   ,1,0,  1,  1,   ,   , , , , , , ,1,0,1,0,1,1,0, ,   0,    ,   0,    ,1,1,1, ,     , , ,back in bed without doing anything then up again @ 08:33
2018-01-22,     ,     ,     ,0, , , , ,    ,    ,    ,    , , , , , , , , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,computer busted all day
2018-01-21,09:51,     ,     ,2,1,1,1,1,1.00,0.50,0.10,0.10,1,1,1,1,1,1,1,1,1,1,1,1, , , , ,  0,  0, , , , ,  1,  1,1,0,  1,  0,   ,   , , , , , , , , , , ,1,1,1, ,    ,    ,    ,    ,1,1, , ,     , , ,
2018-01-20,06:57,     ,     ,2,1,1,1,1,0.50,0.50,0.10,0.20,1,1,1,1,0,1,0,1,0,1,1,1, , , , ,  0,  0,0,0,0,0,0.5,  1,0,0,  0,  0,   ,   , , ,0,0,0,0,1,1,0,0,1,1,0,0,   0,   0,   0,   0,1,1, , ,     ,0,1,oth: flywheel arts
2018-01-19,07:18,     ,     ,2,0,0,1,1,0.75,0.20,0.20,0.20,0,0,1,1,1,1,1,1,0,1,1,1, , , , ,  0,   ,0, ,0, ,  0,0.5,0, ,  0,0.5,   ,   , , , , ,1, ,1, ,0,1,1,1,1, ,   0,    ,   0,    ,1,1, , ,     ,2,3,oth: tiny house group; return to noho; nvc reading
2018-01-18,05:58,     ,     ,2,1,1,1,1,0.20,0.20,0.20,0.20,1,1,1,1,1,1,1,1,1,1,1,1, , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   ,1,1, , , , , , , , ,1,1, , ,    ,    ,    ,    ,0,1, , ,     ,1,2,oth: laundry & nvc reading
2018-01-17,07:42,     ,     ,2,1,1,1,1,0.15,0.15,0.15,0.15,1,1,1,1,1,1, , ,1,1,1,1, , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , ,1, ,1, ,0,1,0, ,   0,    ,   0,    ,1,1, , ,     , , ,
2018-01-16,     ,     ,     ,2,1,1,0,0,0.12,0.15,0.12,0.15,1,1,1,1,1,1,1, ,1,1,1,1, , , , ,  0,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , ,1, ,1, ,1, , , ,    ,    ,    ,    ,1, , , ,     , , ,
2018-01-15,08:59,     , 6.30,2,1,1,0, ,0.13,0.15,0.13,0.15,1,1,1,1,1,1, , ,1,1,1,1, , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , ,1,0, , ,1,0, , ,    ,    ,    ,    , , , , ,     , , ,
2018-01-14,06:55,     ,     ,0, , , , ,    ,    ,    ,    , , , , , , , , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,
2018-01-13,05:06,     ,     ,1,1,1,0,1,0.15,0.15,0.15,0.15,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,  0,  0,0,0,0,0,  0,  1,0,1,0.1,  1,  0,  1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,   0,   0,   0,   0,1,1, , ,     , , ,
2018-01-12,08:55,     ,     , , , , , ,    ,    ,    ,    , , , , , , , , , , , , , , , , ,   ,   , , , , ,   ,   , , ,   ,   ,   ,   , , , , , , , , , , , , , , ,    ,    ,    ,    , , , , ,     , , ,brain going pretty wrong this morn
