Time,Action,Goal,Task
1522242791,stop,RESPONS,Fissure Treatment
1522243056,start,RESPONS,Eye Lubricant
1522243057,stop,RESPONS,Eye Lubricant
1522300955,start,RESPONS,Eye Lubricant
1522301076,stop,RESPONS,Eye Lubricant
1522301082,start,RESPONS,Brush Teeth
1522302210,stop,RESPONS,Brush Teeth
1522302690,start,RESPONS,Eye Lubricant
1522302775,stop,RESPONS,Eye Lubricant
1522326335.28,start,REC,eeg battery
1522327664.54,stop,REC,eeg battery
1522328230.14,start,REC,soapy_power
1522329835.38,stop,REC,soapy_power
1522330397,start,RESPONS,Eye Lubricant
1522330572,stop,RESPONS,Eye Lubricant
1522330609,start,RESPONS,Meds
1522330668,heartbeat,RESPONS,Meds
1522330727,heartbeat,RESPONS,Meds
1522335037,stop,RESPONS,Meds
1522344815,start,RESPONS,Fissure Treatment
1522345546,stop,RESPONS,Fissure Treatment
1522345726,start,RESPONS,Eye Lubricant
1522345767,stop,RESPONS,Eye Lubricant
1522345869.3,start,RESPONS,dermal care
1522345897.06,stop,RESPONS,dermal care
1522383573,start,RESPONS,Eye Lubricant
1522383648,stop,RESPONS,Eye Lubricant
1522383668,start,RESPONS,Meds
1522414867,start,RESPONS,Eye Lubricant
1522414975,stop,RESPONS,Eye Lubricant
1522425510.9,start,BLOCKED,
1522436276.95,heartbeat,BLOCKED,
1522439160,start,RESPONS,Meds
1522498655.31,stop,BLOCKED,
1522510386,start,RESPONS,Eye Lubricant
1522510591,stop,RESPONS,Eye Lubricant
1522510778,start,RESPONS,Meds
1522510780,heartbeat,RESPONS,Meds
1522510987,heartbeat,RESPONS,Meds
1522515865,stop,RESPONS,Meds
1522547938,start,RESPONS,Brush Teeth
1522548966,stop,RESPONS,Brush Teeth
1522590698,start,RESPONS,Eye Lubricant
1522591147,stop,RESPONS,Eye Lubricant
1522598300,start,RESPONS,Meds
1522598469,heartbeat,RESPONS,Meds
1522598549,heartbeat,RESPONS,Meds
1522601868,stop,RESPONS,Meds
1522606345,start,RESPONS,Brush Teeth
1522607697,stop,RESPONS,Brush Teeth
1522609871,start,RESPONS,Fissure Treatment
1522610747,stop,RESPONS,Fissure Treatment
1522610854,start,RESPONS,Eye Lubricant
1522610939,stop,RESPONS,Eye Lubricant
1522611093.19,start,REC,eeg battery
1522612692.65,stop,REC,eeg battery
1522612712.97,start,RESPONS,dermal care
1522612771.42,stop,RESPONS,dermal care
1522612836.23,start,SAFE,tent
1522613475.81,stop,SAFE,tent
1522613502,start,RESPONS,Eye Lubricant
1522613546,stop,RESPONS,Eye Lubricant
1522613564,start,RESPONS,Meds
1522613635,heartbeat,RESPONS,Meds
1522615456,stop,RESPONS,Meds
1522615718,start,RESPONS,Fissure Treatment
1522616624,stop,RESPONS,Fissure Treatment
1522616656.14,start,SAFE,noise
1522625725.8,stop,SAFE,noise
1522626523.43,start,SAFE,noise
1522627268.79,stop,SAFE,noise
1522633190,start,RESPONS,Eye Lubricant
1522633410,stop,RESPONS,Eye Lubricant
1522633427,start,RESPONS,Meds
1522633486,heartbeat,RESPONS,Meds
1522634945,stop,RESPONS,Meds
1522634960,start,RESPONS,Brush Teeth
1522635790,stop,RESPONS,Brush Teeth
1522635808,start,RESPONS,Eye Lubricant
1522635876,stop,RESPONS,Eye Lubricant
1522667683,start,RESPONS,Eye Lubricant
1522667758,stop,RESPONS,Eye Lubricant
1522668314,start,RESPONS,Meds
1522668388,heartbeat,RESPONS,Meds
1522670349,stop,RESPONS,Meds
1522670391,start,RESPONS,Brush Teeth
1522671957,stop,RESPONS,Brush Teeth
1522672982,start,RESPONS,Fissure Treatment
1522673990,stop,RESPONS,Fissure Treatment
1522724173.75,start,RESPONS,Fissure Treatment
1522724519.32,heartbeat,RESPONS,Fissure Treatment
1522725425.72,stop,RESPONS,Fissure Treatment
1522756038,start,RESPONS,Eye Lubricant
1522756114,stop,RESPONS,Eye Lubricant
1522756137,start,RESPONS,Meds
1522756257,heartbeat,RESPONS,Meds
1522756411,heartbeat,RESPONS,Meds
1522756832,stop,RESPONS,Meds
1522759122,start,RESPONS,Fissure Treatment
1522759940,stop,RESPONS,Fissure Treatment
1522760168,start,RESPONS,Eye Lubricant
1522760240,stop,RESPONS,Eye Lubricant
1522848092,start,RESPONS,Eye Lubricant
1522848170,stop,RESPONS,Eye Lubricant
1522851894,start,RESPONS,Meds
1522852051,heartbeat,RESPONS,Meds
1522852212,heartbeat,RESPONS,Meds
1522858369,start,RESPONS,Brush Teeth
1522859551,stop,RESPONS,Brush Teeth
1522859557,start,RESPONS,Fissure Treatment
1522860492,stop,RESPONS,Fissure Treatment
1522860847,start,RESPONS,Eye Lubricant
1522860937,stop,RESPONS,Eye Lubricant
1522938773,stop,RESPONS,Meds
1522938777,start,RESPONS,Meds
1522938988,heartbeat,RESPONS,Meds
1522941715,stop,RESPONS,Meds
1522943364,start,RESPONS,Brush Teeth
1523022145,start,RESPONS,Eye Lubricant
1523022187,stop,RESPONS,Eye Lubricant
1523022291,start,RESPONS,Meds
1523022293,heartbeat,RESPONS,Meds
1523022411,heartbeat,RESPONS,Meds
1523023050,stop,RESPONS,Meds
1523023115,start,RESPONS,Brush Teeth
1523023934,stop,RESPONS,Brush Teeth
1523025727,start,RESPONS,Fissure Treatment
1523027026,stop,RESPONS,Fissure Treatment
1523046338,start,RESPONS,Eye Lubricant
1523046449,stop,RESPONS,Eye Lubricant
1523046489.82,start,BLOCKED,
1523074012.28,stop,BLOCKED,
1523084521,start,RESPONS,Eye Lubricant
1523111336.93,start,BLOCKED,
1523115102.51,stop,BLOCKED,
1523120082,start,RESPONS,Eye Lubricant
1523120245,stop,RESPONS,Eye Lubricant
1523125377,start,RESPONS,Meds
1523125453,heartbeat,RESPONS,Meds
1523125505,heartbeat,RESPONS,Meds
1523128241,stop,RESPONS,Meds
1523187018,start,RESPONS,Eye Lubricant
1523187083,stop,RESPONS,Eye Lubricant
1523191535,start,RESPONS,Meds
1523191585,heartbeat,RESPONS,Meds
1523197925,stop,RESPONS,Meds
1523199448,start,RESPONS,Brush Teeth
1523200957,stop,RESPONS,Brush Teeth
1523203210,start,RESPONS,Fissure Treatment
1523204151,stop,RESPONS,Fissure Treatment
1523210251,start,RESPONS,Eye Lubricant
1523210278,stop,RESPONS,Eye Lubricant
1524065316,start,RESPONS,Eye Lubricant
1524066613.4394851,start,BLOCKED,
1524066674.0258136,heartbeat,BLOCKED,
1524066674.7163703,heartbeat,BLOCKED,
1524066675.2845299,heartbeat,BLOCKED,
1524066767.6669874,heartbeat,BLOCKED,
1524066767.6999309,heartbeat,BLOCKED,
1524066768.3057754,heartbeat,BLOCKED,
1524066832.5883749,stop,BLOCKED,
1524071621,stop,RESPONS,Eye Lubricant
1524075671,start,RESPONS,Meds
1524075867,start,RESPONS,Meds
1524075870,heartbeat,RESPONS,Meds
1524075879,stop,RESPONS,Meds
1524075958,start,RESPONS,Meds
1524075962,heartbeat,RESPONS,Meds
1524075968,stop,RESPONS,Meds
1524227505,start,RESPONS,Eye Lubricant
1524227586,stop,RESPONS,Eye Lubricant
1524230086,start,RESPONS,Brush Teeth
1524231414,stop,RESPONS,Brush Teeth
1524232005,start,RESPONS,Fissure Treatment
1524232960,stop,RESPONS,Fissure Treatment
1524233260,start,RESPONS,Eye Lubricant
1524310260,start,RESPONS,Eye Lubricant
1524311088,stop,RESPONS,Eye Lubricant
1524314265,start,RESPONS,Brush Teeth
1524315101,stop,RESPONS,Brush Teeth
1524315988,start,RESPONS,Fissure Treatment
1524316760,stop,RESPONS,Fissure Treatment
1522237352,start,RESPONS,Eye Lubricant
1522239234,stop,RESPONS,Eye Lubricant
1524604404,start,RESPONS,Brush Teeth
1524605073,stop,RESPONS,Brush Teeth
1524605609,start,RESPONS,Fissure Treatment
1524606499,stop,RESPONS,Fissure Treatment
1524607235,start,RESPONS,Eye Lubricant
1524607299,stop,RESPONS,Eye Lubricant
1524843872,start,RESPONS,Eye Lubricant
1524845327,stop,RESPONS,Eye Lubricant
1524409128,start,RESPONS,Eye Lubricant
1524409878,stop,RESPONS,Eye Lubricant
1524491118,start,RESPONS,Eye Lubricant
1524493740,start,RESPONS,Brush Teeth
1524494736,stop,RESPONS,Brush Teeth
1524495597,start,RESPONS,Fissure Treatment
1525097122,stop,RESPONS,Fissure Treatment
1525171975,start,RESPONS,Eye Lubricant
1525173915,stop,RESPONS,Eye Lubricant
1525181045,start,RESPONS,Brush Teeth
1525182013,stop,RESPONS,Brush Teeth
1525182795,start,RESPONS,Fissure Treatment
1525183812,stop,RESPONS,Fissure Treatment
1525257959,start,RESPONS,Eye Lubricant
1525258048,stop,RESPONS,Eye Lubricant
1525266218,start,RESPONS,Brush Teeth
1525267212,stop,RESPONS,Brush Teeth
1525268783,start,RESPONS,Fissure Treatment
1525270219,stop,RESPONS,Fissure Treatment
1525351210,start,RESPONS,Eye Lubricant
1525351304,stop,RESPONS,Eye Lubricant
1524973948,start,RESPONS,Eye Lubricant
1524974166,stop,RESPONS,Eye Lubricant
1524978660,start,RESPONS,Brush Teeth
1525434708,stop,RESPONS,Brush Teeth
1525436663,start,RESPONS,Fissure Treatment
1525437528,stop,RESPONS,Fissure Treatment
1525692488,start,RESPONS,Eye Lubricant
1525692552,stop,RESPONS,Eye Lubricant
1525701187,start,RESPONS,Brush Teeth
1525701811,stop,RESPONS,Brush Teeth
1525702542,start,RESPONS,Fissure Treatment
1525703575,stop,RESPONS,Fissure Treatment
1525703969,start,RESPONS,Eye Lubricant
1525703973,stop,RESPONS,Eye Lubricant
1525771812,start,RESPONS,Eye Lubricant
1525771891,stop,RESPONS,Eye Lubricant
1525782438,start,RESPONS,Brush Teeth
1525783152,stop,RESPONS,Brush Teeth
1525783790,start,RESPONS,Fissure Treatment
1525886456,start,RESPONS,Eye Lubricant
1525886539,stop,RESPONS,Eye Lubricant
1525890441,start,RESPONS,Fissure Treatment
1525891432,stop,RESPONS,Fissure Treatment
1525892231,start,RESPONS,Eye Lubricant
1525892306,stop,RESPONS,Eye Lubricant
1526036001,start,RESPONS,Eye Lubricant
1526036257,stop,RESPONS,Eye Lubricant
1526049634,start,RESPONS,Brush Teeth
1526050271,stop,RESPONS,Brush Teeth
1526050765,start,RESPONS,Fissure Treatment
1526051732,stop,RESPONS,Fissure Treatment
1526052087,start,RESPONS,Eye Lubricant
1526052148,stop,RESPONS,Eye Lubricant
1526127379,start,RESPONS,Eye Lubricant
1526127475,stop,RESPONS,Eye Lubricant
1526218973,start,RESPONS,Eye Lubricant
1526219297,stop,RESPONS,Eye Lubricant
1526230362,start,RESPONS,Brush Teeth
1526563765,start,RESPONS,Eye Lubricant
1526563893,stop,RESPONS,Eye Lubricant
1526826719,start,RESPONS,Eye Lubricant
1526894532,start,RESPONS,Eye Lubricant
1526894663,stop,RESPONS,Eye Lubricant
1526926942,start,RESPONS,Brush Teeth
1526996800,start,RESPONS,Eye Lubricant
1526997222,stop,RESPONS,Eye Lubricant
1526998768,start,RESPONS,Brush Teeth
1526999834,stop,RESPONS,Brush Teeth
1527002700,start,RESPONS,Fissure Treatment
1527159534,start,RESPONS,Eye Lubricant
1527160385,stop,RESPONS,Eye Lubricant
1527173674,start,RESPONS,Brush Teeth
1527174761,stop,RESPONS,Brush Teeth
1527175838,start,RESPONS,Fissure Treatment
1527176270,start,RESPONS,Eye Lubricant
1527176390,stop,RESPONS,Eye Lubricant
1527177119.7699387,start,REC,eeg battery
1527181035.6882672,stop,REC,eeg battery
1527181695.2674716,start,RESPONS,dermal care
1527181720.8720896,stop,RESPONS,dermal care
1527181768.5003123,start,SUST,fiber
1527182837.4164109,stop,SUST,fiber
1527243092,start,RESPONS,Eye Lubricant
1527243423,stop,RESPONS,Eye Lubricant
1527250056,start,RESPONS,Brush Teeth
1527250059,stop,RESPONS,Brush Teeth
1527252162,start,RESPONS,Fissure Treatment
1527253209,stop,RESPONS,Fissure Treatment
1527253526,start,RESPONS,Eye Lubricant
1527253615,stop,RESPONS,Eye Lubricant
1527422497,start,RESPONS,Eye Lubricant
1527422732,stop,RESPONS,Eye Lubricant
1527432811,start,RESPONS,Brush Teeth
1527434362,stop,RESPONS,Brush Teeth
1527434481.76,start,SAFE,wv
1527461351.69,stop,SAFE,wv
1527502282,start,RESPONS,Eye Lubricant
1527502451,stop,RESPONS,Eye Lubricant
1527507755.03,start,RESPONS,Meds
1527507755.96,stop,RESPONS,Meds
1527512969,start,RESPONS,Brush Teeth
1527513823,stop,RESPONS,Brush Teeth
1527515027,start,RESPONS,Fissure Treatment
1527516064,stop,RESPONS,Fissure Treatment
